LAT,LON,distance,RSSI_TESTER,RT_POWER,OH_POWER,LD_POWER,LDVA_POWER
37.601416666666665,-0.981,12.182222581473667,-91.0,-66.29705854592859,-49.429535431414,-53.952050306495,-51.257498568642
37.601616666666665,-0.9806666666666668,16.25477769402464,-63.0,-79.50399409169191,-64.022034461738,-70.022352780621,-70.062738398487
37.60111666666667,-0.9813333333333334,16.677197713691655,-59.0,-50.6560985265191,-65.535620787036,-71.689222178227,-69.690087715723
37.60166666666667,-0.9815,17.842630269736393,-57.0,-69.6028075628538,-69.7115184665,-76.28801904438,-71.235657391782
37.601683333333334,-0.9815,17.91644165948739,-50.0,-66.35006420975171,-69.975994355371,-76.579278788337,-76.910392721726
37.601683333333334,-0.9815,17.91644165948739,-49.0,-66.4537413483601,-69.975994355371,-76.579278788337,-79.094534922489
37.6017,-0.9815,17.99152182627799,-57.0,-71.7208628775314,-70.245016438758,-76.875545126493,-75.069695528906
37.60171666666667,-0.9815,18.069656772956286,-60.0,-65.10281249866321,-70.524984199078,-77.183865626086,-78.852575159291
37.60171666666667,-0.9815,18.069656772956286,-56.0,-65.5711283148922,-70.524984199078,-77.183865626086,-75.427193762154
37.60171666666667,-0.9815,18.069656772956286,-52.0,-65.784169581011,-70.524984199078,-77.183865626086,-77.825120143953
37.601416666666665,-0.9816666666666668,18.32811144605949,-80.0,-92.5524856194268,-71.451061185738,-78.203727766151,-75.773619404183
37.600966666666665,-0.9803333333333334,18.589904799725147,-79.0,-91.0040586033217,-72.389101102679,-79.236764339715,-75.716082942721
37.60106666666667,-0.9816666666666668,18.64316174913382,-67.0,-59.001045955191294,-72.579927736359,-79.446916262082,-78.826041665227
37.601933333333335,-0.9813333333333334,18.70386503685698,-63.0,-81.2076909344069,-72.797435576709,-79.686451435438,-76.009089705127
37.60078333333333,-0.9813333333333334,18.79479204894594,-79.0,-63.3211939749311,-73.123238984905,-80.045249425141,-76.750738559404
37.60195,-0.9813333333333334,18.80000606780207,-75.0,-74.2182826030442,-73.141921498217,-80.065823943547,-77.96717006666
37.60071666666666,-0.9813333333333334,19.018004161554472,-86.0,-55.3133505386037,-73.923037255715,-80.926044421494,-81.71417299816
37.60103333333333,-0.9801666666666669,19.06912577959789,-87.0,-88.2699311373716,-74.106212717093,-81.127770326293,-82.580191109666
37.600683333333336,-0.9813333333333334,19.170241745735662,-69.0,-57.45485640345849,-74.468524483794,-81.526773928673,-81.324636269581
37.60066666666667,-0.9813333333333334,19.251987028930387,-71.0,-57.10602021317389,-74.7614285533,-81.849340816159,-81.369125254359
37.60066666666667,-0.9813333333333334,19.251987028930387,-67.0,-57.7364005524931,-74.7614285533,-81.849340816159,-82.028207660363
37.60066666666667,-0.9813333333333334,19.251987028930387,-67.0,-58.1030594307912,-74.7614285533,-81.849340816159,-81.161074906475
37.60066666666667,-0.9813333333333334,19.251987028930387,-68.0,-56.799851768171905,-74.7614285533,-81.849340816159,-83.224158647628
37.60065,-0.9813333333333334,19.332405283417476,-67.0,-58.1404188752084,-75.049577704924,-82.166671248365,-83.209960293888
37.60065,-0.9813333333333334,19.332405283417476,-66.0,-59.568040916624895,-75.049577704924,-82.166671248365,-83.793062945233
37.60065,-0.9813333333333334,19.332405283417476,-64.0,-60.0367750560653,-75.049577704924,-82.166671248365,-83.382838201589
37.60065,-0.9813333333333334,19.332405283417476,-68.0,-58.7085042271617,-75.049577704924,-82.166671248365,-81.509560715642
37.60065,-0.9813333333333334,19.332405283417476,-76.0,-57.1133533450629,-75.049577704924,-82.166671248365,-82.479086243293
37.60065,-0.9813333333333334,19.332405283417476,-67.0,-61.25141191319081,-75.049577704924,-82.166671248365,-82.011263676631
37.60065,-0.9813333333333334,19.332405283417476,-69.0,-60.6468863666046,-75.049577704924,-82.166671248365,-82.880884612709
37.60065,-0.9813333333333334,19.332405283417476,-67.0,-62.51186475390951,-75.049577704924,-82.166671248365,-80.885954275979
37.60065,-0.9813333333333334,19.332405283417476,-65.0,-58.1345272587733,-75.049577704924,-82.166671248365,-82.473025398352
37.601933333333335,-0.9803333333333334,19.381523686928453,-82.0,-56.9830565858159,-75.225575385936,-82.36049246862,-83.563593345485
37.6015,-0.98,19.463879095291865,-89.0,-99.215491906487,-75.520665613931,-82.685466910022,-83.685654706051
37.602066666666666,-0.9805,19.57947568643608,-76.0,-71.4103224814903,-75.934863358974,-83.141611058677,-77.694601168822
37.602133333333335,-0.9806666666666668,19.648650344191523,-63.0,-68.5943918527047,-76.182725229059,-83.41457425818,-81.763468172762
37.60175,-0.98,19.87070560371957,-78.0,-83.4692708185014,-76.978378343575,-84.290804312277,-83.244176777137
37.60163333333333,-0.982,19.985067916715984,-95.0,-91.016580750797,-77.388153508155,-84.742077999361,-83.491448493745
37.601683333333334,-0.982,20.067548886537992,-86.0,-84.1241131765178,-77.683693639322,-85.067547906279,-83.767548285447
37.60041666666667,-0.9811666666666666,20.333114012470737,-80.0,-64.4654308987391,-78.635248310913,-86.11546789321,-84.924328843633
37.600566666666666,-0.9816666666666668,20.348574121099713,-73.0,-62.417515252698195,-78.690643907521,-86.176473481859,-87.599341073459
37.600566666666666,-0.9816666666666668,20.348574121099713,-86.0,-61.055751120010406,-78.690643907521,-86.176473481859,-83.342638057982
37.60041666666667,-0.981,20.394546675446904,-91.0,-90.3015302637439,-78.855369598443,-86.357881181314,-87.652838117316
37.60055,-0.9816666666666668,20.412762262924204,-79.0,-62.0188210737557,-78.920638437109,-86.429759889499,-86.051947102423
