RSSI-UP,RSSI-DW,Latitude,Longitude,x,y,z,geometry
-66.0,-69.0,37.60045,-0.982,1373.312,53.45962,514.4839,POINT (678141.4516243838 4163400.2039239784)
-67.0,-72.0,37.60045,-0.982,1373.312,53.45962,514.4839,POINT (678141.4516243838 4163400.2039239784)
-73.0,-74.0,37.60045,-0.9818333333333332,1388.026,52.98377,514.8003,POINT (678156.165899614 4163400.520278484)
-68.0,-67.0,37.600433333333335,-0.9818333333333332,1388.066,53.04892,512.9509,POINT (678156.2056624307 4163398.670907126)
-67.0,-69.0,37.600433333333335,-0.9818333333333332,1388.066,53.04892,512.9509,POINT (678156.2056624307 4163398.670907126)
-68.0,-71.0,37.600433333333335,-0.9818333333333332,1388.066,53.04892,512.9509,POINT (678156.2056624307 4163398.670907126)
-69.0,-71.0,37.60045,-0.9818333333333332,1388.026,52.98377,514.8003,POINT (678156.165899614 4163400.520278484)
-71.0,-67.0,37.60046666666667,-0.9818333333333332,1387.986,52.91863,516.6497,POINT (678156.126136782 4163402.369649848)
-77.0,,37.60048333333334,-0.9818333333333332,1387.946,52.88314,518.499,POINT (678156.086373935 4163404.2190212146)
-78.0,,37.60046666666667,-0.9818333333333332,1387.986,52.91863,516.6497,POINT (678156.126136782 4163402.369649848)
-52.0,-52.0,37.60171666666667,-0.9815,1414.432,18.32355,655.9853,POINT (678182.5719332166 4163541.705310036)
-56.0,-57.0,37.60171666666667,-0.9815,1414.432,18.32355,655.9853,POINT (678182.5719332166 4163541.705310036)
-60.0,-58.0,37.60171666666667,-0.9815,1414.432,18.32355,655.9853,POINT (678182.5719332166 4163541.705310036)
-57.0,-52.0,37.6017,-0.9815,1414.472,18.43832,654.1359,POINT (678182.6117037577 4163539.8559382306)
-49.0,,37.601683333333334,-0.9815,1414.511,18.4635,652.2866,POINT (678182.6514742835 4163538.00656643)
-57.0,,37.60166666666667,-0.9815,1414.551,18.48867,650.4372,POINT (678182.6912447943 4163536.157194635)
-50.0,,37.601683333333334,-0.9815,1414.511,18.4635,652.2866,POINT (678182.6514742835 4163538.00656643)
-48.0,-54.0,37.6033,-0.9816666666666668,1395.94,10.2442,831.3593,POINT (678164.079949056 4163717.0792372166)
-49.0,-54.0,37.603316666666665,-0.9816666666666668,1395.9,10.54072,833.2086,POINT (678164.0401803512 4163718.928609412)
-50.0,-52.0,37.60328333333333,-0.9818333333333332,1381.266,11.46299,829.1935,POINT (678149.4060010253 4163714.9134760653)
-67.0,-70.0,37.60065,-0.9813333333333334,1431.691,34.89276,537.942,POINT (678199.8314543024 4163423.6619573557)
-76.0,-77.0,37.60065,-0.9813333333333334,1431.691,34.89276,537.942,POINT (678199.8314543024 4163423.6619573557)
-67.0,-69.0,37.60065,-0.9813333333333334,1431.691,34.89276,537.942,POINT (678199.8314543024 4163423.6619573557)
-69.0,-70.0,37.60065,-0.9813333333333334,1431.691,34.89276,537.942,POINT (678199.8314543024 4163423.6619573557)
-67.0,-69.0,37.60065,-0.9813333333333334,1431.691,34.89276,537.942,POINT (678199.8314543024 4163423.6619573557)
-65.0,-70.0,37.60065,-0.9813333333333334,1431.691,34.89276,537.942,POINT (678199.8314543024 4163423.6619573557)
-66.0,-59.0,37.60065,-0.9813333333333334,1431.691,34.89276,537.942,POINT (678199.8314543024 4163423.6619573557)
-64.0,-68.0,37.60065,-0.9813333333333334,1431.691,34.89276,537.942,POINT (678199.8314543024 4163423.6619573557)
-68.0,-71.0,37.60065,-0.9813333333333334,1431.691,34.89276,537.942,POINT (678199.8314543024 4163423.6619573557)
-67.0,-69.0,37.60066666666667,-0.9813333333333334,1431.652,32.40884,539.7913,POINT (678199.7916814265 4163425.51132892)
-68.0,-70.0,37.60066666666667,-0.9813333333333334,1431.652,32.40884,539.7913,POINT (678199.7916814265 4163425.51132892)
-71.0,-69.0,37.60066666666667,-0.9813333333333334,1431.652,32.40884,539.7913,POINT (678199.7916814265 4163425.51132892)
-67.0,-62.0,37.60066666666667,-0.9813333333333334,1431.652,32.40884,539.7913,POINT (678199.7916814265 4163425.51132892)
-69.0,,37.600683333333336,-0.9813333333333334,1431.612,30.78476,541.6407,POINT (678199.7519085354 4163427.3607004895)
-82.0,-79.0,37.59985,-0.981,1463.029,34.97985,449.8051,POINT (678231.169325223 4163335.5250685695)
-79.0,-82.0,37.59985,-0.981,1463.029,34.97985,449.8051,POINT (678231.169325223 4163335.5250685695)
-76.0,-79.0,37.59985,-0.981,1463.029,34.97985,449.8051,POINT (678231.169325223 4163335.5250685695)
-79.0,,37.599833333333336,-0.981,1463.069,34.6506,447.9557,POINT (678231.2091039328 4163333.6756971325)
-77.0,-81.0,37.59985,-0.981,1463.029,34.97985,449.8051,POINT (678231.169325223 4163335.5250685695)
-75.0,,37.59985,-0.981,1463.029,34.97985,449.8051,POINT (678231.169325223 4163335.5250685695)
-75.0,,37.59985,-0.981,1463.029,34.97985,449.8051,POINT (678231.169325223 4163335.5250685695)
-75.0,-78.0,37.59985,-0.981,1463.029,34.97985,449.8051,POINT (678231.169325223 4163335.5250685695)
-79.0,-83.0,37.59985,-0.981,1463.029,34.97985,449.8051,POINT (678231.169325223 4163335.5250685695)
-78.0,-77.0,37.59985,-0.981,1463.029,34.97985,449.8051,POINT (678231.169325223 4163335.5250685695)
-77.0,-87.0,37.59985,-0.981,1463.029,34.97985,449.8051,POINT (678231.169325223 4163335.5250685695)
-85.0,-81.0,37.59985,-0.981,1463.029,34.97985,449.8051,POINT (678231.169325223 4163335.5250685695)
-80.0,-78.0,37.599833333333336,-0.981,1463.069,34.6506,447.9557,POINT (678231.2091039328 4163333.6756971325)
-91.0,,37.599833333333336,-0.981,1463.069,34.6506,447.9557,POINT (678231.2091039328 4163333.6756971325)
-69.0,-75.0,37.5998,-0.9811666666666666,1448.434,47.41198,443.9405,POINT (678216.5742559223 4163329.660470886)
-92.0,-95.0,37.60281666666667,-0.9791666666666666,1617.8,26.02801,782.4764,POINT (678385.9404131758 4163668.1963983094)
-99.0,-104.0,37.603116666666665,-0.9793333333333332,1602.37,20.26019,815.4483,POINT (678370.5099389582 4163701.1683284976)
-104.0,-95.0,37.60316666666667,-0.9803333333333334,1513.968,12.26089,819.0963,POINT (678282.1080300047 4163704.816310424)
-97.0,-94.0,37.60355,-0.9808333333333332,1468.912,11.4048,860.6822,POINT (678237.0517433025 4163746.4021617034)
-90.0,-90.0,37.60335,-0.9811666666666666,1439.962,10.22563,837.8567,POINT (678208.1017559337 4163723.5766782267)
-95.0,-107.0,37.6033,-0.9816666666666668,1395.94,10.2442,831.3593,POINT (678164.079949056 4163717.0792372166)
-96.0,-88.0,37.60285,-0.9815,1411.728,9.075443,781.7426,POINT (678179.8675009585 4163667.4626035043)
-84.0,-88.0,37.602583333333335,-0.9811666666666666,1441.792,10.8654,752.7856,POINT (678209.9315558006 4163638.5055547985)
-81.0,-82.0,37.60245,-0.9808333333333332,1471.538,12.67075,738.6236,POINT (678239.6775443048 4163624.343586255)
-76.0,-81.0,37.602066666666666,-0.9805,1501.88,16.69077,696.7211,POINT (678270.0204991825 4163582.4411376156)
-89.0,-82.0,37.6015,-0.98,1547.376,22.19481,634.7924,POINT (678315.5155865604 4163520.512343055)
-87.0,-87.0,37.60103333333333,-0.9801666666666669,1533.776,27.07964,582.6933,POINT (678301.915814524 4163468.413279684)
-79.0,-82.0,37.600966666666665,-0.9803333333333334,1519.221,28.01937,574.9792,POINT (678287.360822119 4163460.699174094)
-91.0,-71.0,37.601416666666665,-0.981,1459.29,23.01464,623.646,POINT (678227.4300589553 4163509.366004149)
-63.0,-75.0,37.601933333333335,-0.9813333333333334,1428.629,15.85552,680.3436,POINT (678196.7688986079 4163566.0635812334)
-79.0,-87.0,37.60225,-0.9816666666666668,1398.445,11.16411,714.8488,POINT (678166.5853469757 4163600.568798111)
-89.0,-81.0,37.60208333333333,-0.982,1369.415,10.82737,695.7224,POINT (678137.5551171863 4163581.4423345565)
-95.0,-77.0,37.60163333333333,-0.982,1370.489,10.57025,645.7893,POINT (678138.6286591684 4163531.509298674)
-80.0,-71.0,37.601416666666665,-0.9816666666666668,1400.434,9.86533,622.3802,POINT (678168.5737153131 4163508.100208605)
-59.0,-82.0,37.60111666666667,-0.9813333333333334,1430.578,19.09765,589.7244,POINT (678198.7178080595 4163475.4443628904)
-79.0,-82.0,37.60078333333333,-0.9813333333333334,1431.373,15.26654,552.7369,POINT (678199.5132708714 4163438.45693)
-91.0,-85.0,37.60041666666667,-0.981,1461.677,8.465462,512.6837,POINT (678229.8168400845 4163398.4037001645)
-95.0,-82.0,37.60028333333333,-0.9808333333333332,1476.709,8.143896,498.2052,POINT (678244.8493838909 4163383.925238504)
-82.0,-94.0,37.599916666666665,-0.9803333333333334,1521.728,9.648803,458.4688,POINT (678289.8677436088 4163344.188750839)
-87.0,-91.0,37.59961666666667,-0.9801666666666669,1537.158,9.055398,425.4967,POINT (678305.2984393532 4163311.2166754543)
-83.0,-90.0,37.59921666666666,-0.98,1552.828,10.07696,381.4284,POINT (678320.9680364107 4163267.1483965213)
-97.0,-87.0,37.5987,-0.9798333333333332,1568.776,7.754698,324.4146,POINT (678336.9163881104 4163210.1345436736)
-104.0,-94.0,37.59858333333333,-0.9798333333333332,1569.055,4.746131,311.4689,POINT (678337.1949925404 4163197.18894353)
-89.0,-102.0,37.59798333333333,-0.9791666666666666,1629.347,4.283744,246.1585,POINT (678397.4868732406 4163131.8784811003)
-95.0,-95.0,37.598083333333335,-0.978,1732.111,4.568329,259.4728,POINT (678500.2512426223 4163145.1928048576)
-93.0,-104.0,37.598,-0.9773333333333334,1791.17,4.251333,251.494,POINT (678559.3094974703 4163137.214003008)
-111.0,-102.0,37.597833333333334,-0.977,1820.998,4.102349,233.6345,POINT (678589.1375952046 4163119.354467766)
-99.0,-94.0,37.59765,-0.9773333333333334,1792.006,4.212977,212.6572,POINT (678560.1463307043 4163098.3771918924)
-93.0,-99.0,37.59758333333333,-0.9778333333333332,1748.021,4.204553,204.3086,POINT (678516.1611744158 4163090.0286257816)
-93.0,-97.0,37.597566666666665,-0.9783333333333334,1703.917,4.202425,201.5084,POINT (678472.0564548324 4163087.2284110845)
-95.0,,37.59755,-0.9788333333333332,1659.812,4.210189,198.7084,POINT (678427.9517190128 4163084.4284320893)
-78.0,-83.0,37.597516666666664,-0.9793333333333332,1615.747,4.199909,194.0593,POINT (678383.886776437 4163079.779317512)
-99.0,,37.59746666666667,-0.9798333333333332,1571.722,3.991868,187.5611,POINT (678339.8615974275 4163073.281067818)
-103.0,-108.0,37.59745,-0.9803333333333334,1527.617,4.143795,184.7618,POINT (678295.7567832628 4163070.4817963885)
-108.0,,37.59741666666667,-0.9808333333333332,1483.552,4.125868,180.1134,POINT (678251.691732663 4163065.833389844)
-106.0,-115.0,37.59741666666667,-0.9813333333333334,1439.407,4.101513,179.164,POINT (678207.5471062141 4163064.8839606415)
-115.0,-112.0,37.59738333333333,-0.9818333333333332,1395.342,4.062649,174.516,POINT (678163.4820033787 4163060.2360258023)
-110.0,-110.0,37.597433333333335,-0.9821666666666666,1365.793,4.10852,179.4315,POINT (678133.932983066 4163065.151472191)
-112.0,-111.0,37.59798333333333,-0.9826666666666668,1320.337,4.222605,239.5119,POINT (678088.4768270771 4163125.2318925266)
-115.0,-123.0,37.59823333333333,-0.9825,1334.455,4.664297,267.5687,POINT (678102.5953740313 4163153.288692993)
-116.0,,37.59843333333333,-0.9826666666666668,1319.264,12.70499,289.4449,POINT (678087.4037295141 4163175.1648960114)
-116.0,-117.0,37.5985,-0.9835,1245.531,13.60302,295.2615,POINT (678013.67146544 4163180.981549795)
-104.0,-95.0,37.6009,-0.9835,1239.81,10.40004,561.5709,POINT (678007.9504506529 4163447.2909257165)
-98.0,-109.0,37.601683333333334,-0.9833333333333332,1252.657,8.39717,648.8075,POINT (678020.7971356494 4163534.5274903234)
-116.0,-101.0,37.60196666666667,-0.9835,1237.268,8.11622,679.9307,POINT (678005.4076768736 4163565.65067889)
-107.0,-109.0,37.6022,-0.9836666666666668,1221.998,8.648476,705.5058,POINT (677990.1375107104 4163591.2257793443)
-111.0,-103.0,37.602516666666666,-0.9835,1235.957,9.282793,740.96,POINT (678004.0965349681 4163626.679933964)
-103.0,-108.0,37.603116666666665,-0.9841666666666666,1175.671,9.446706,806.2731,POINT (677943.8112005955 4163691.9930628184)
-109.0,,37.60338333333333,-0.9841666666666666,1175.036,8.740878,835.863,POINT (677943.1756912223 4163721.5830059955)
-110.0,-111.0,37.604033333333334,-0.9846666666666668,1129.346,7.766006,907.0406,POINT (677897.48593324 4163792.760579508)
-109.0,-105.0,37.60425,-0.9848333333333332,1114.116,7.612166,930.7665,POINT (677882.2561805495 4163816.486488679)
-108.0,-118.0,37.604283333333335,-0.9851666666666666,1084.61,8.42455,933.8335,POINT (677852.749742558 4163819.553468121)
-92.0,-91.0,37.6034,-0.9836666666666668,1219.137,8.424727,838.6605,POINT (677987.2770377435 4163724.380525244)
-81.0,-92.0,37.603033333333336,-0.9833333333333332,1249.439,8.70601,798.6066,POINT (678017.5786033799 4163684.3265775116)
-92.0,-92.0,37.602466666666665,-0.9825,1324.359,9.430566,737.309,POINT (678092.4989798085 4163623.0289619924)
-95.0,-81.0,37.60221666666666,-0.9821666666666666,1354.383,9.660551,710.201,POINT (678122.5231022 4163595.920975273)
-83.0,-79.0,37.60191666666667,-0.9821666666666666,1355.099,10.38857,676.9123,POINT (678123.2387410783 4163562.632284531)
-86.0,-72.0,37.601683333333334,-0.982,1370.369,10.14301,651.3374,POINT (678138.5093772701 4163537.057413608)
-67.0,-79.0,37.60106666666667,-0.9816666666666668,1401.269,16.80225,583.5434,POINT (678169.4088187438 4163469.2634044327)
-86.0,-82.0,37.60071666666666,-0.9813333333333334,1431.532,26.42566,545.3394,POINT (678199.6723627079 4163431.0594436405)
-80.0,-77.0,37.60041666666667,-0.9811666666666666,1446.963,22.1713,512.3672,POINT (678215.1025563371 4163398.087214973)
-79.0,-83.0,37.6002,-0.9808333333333332,1476.908,8.036598,488.9584,POINT (678245.0482956932 4163374.6783805243)
-89.0,-91.0,37.59995,-0.9806666666666668,1492.219,7.365858,461.5343,POINT (678260.3594054068 4163347.2543434086)
-78.0,-77.0,37.5997,-0.9803333333333334,1522.245,8.816832,434.4269,POINT (678290.3850373948 4163320.146919733)
-81.0,-87.0,37.5995,-0.98,1552.151,10.81779,412.8677,POINT (678320.2914704765 4163298.587713675)
-93.0,-95.0,37.59973333333333,-0.9798333333333332,1566.309,10.63026,439.0756,POINT (678334.4487165031 4163324.79558332)
-102.0,-85.0,37.600316666666664,-0.9795,1594.344,21.52413,504.437,POINT (678362.4842639441 4163390.15701182)
-110.0,-109.0,37.60601666666667,-0.9813333333333334,1418.884,8.734957,1133.44,POINT (678187.0238067688 4164019.1598381493)
-108.0,-101.0,37.60628333333333,-0.9813333333333334,1418.247,7.826791,1163.03,POINT (678186.387361036 4164048.749807362)
-113.0,-127.0,37.60653333333333,-0.9815,1402.938,7.631227,1190.454,POINT (678171.0776132832 4164076.173953778)
-114.0,-119.0,37.60686666666667,-0.9816666666666668,1387.429,7.49636,1227.125,POINT (678155.5691016831 4164112.844991741)
-111.0,,37.60691666666666,-0.9821666666666666,1343.171,7.250097,1231.724,POINT (678111.3107870938 4164117.443990979)
-115.0,,37.60685,-0.9835,1225.626,7.168707,1221.797,POINT (677993.7657506819 4164107.5166638796)
-111.0,-108.0,37.597233333333335,-0.986,1027.827,4.201824,149.9709,POINT (677795.9672171305 4163035.6909110514)
-105.0,-116.0,37.5973,-0.9855,1071.813,4.50709,158.3156,POINT (677839.9531689805 4163044.035619184)
-114.0,-118.0,37.597316666666664,-0.9851666666666666,1101.203,4.550344,160.7966,POINT (677869.3432519371 4163046.516606866)
-115.0,-110.0,37.5973,-0.9848333333333332,1130.673,4.483663,159.579,POINT (677898.812724903 4163045.298960133)
-113.0,-111.0,37.59728333333334,-0.9845,1160.142,4.079651,158.3614,POINT (677928.2822125547 4163044.081417833)
-107.0,-111.0,37.5973,-0.984,1204.247,3.982587,161.1587,POINT (677972.3871785356 4163046.878724827)
-114.0,-111.0,37.597316666666664,-0.9836666666666668,1233.637,4.144561,163.6402,POINT (678001.777238891 4163049.360183754)
-115.0,,37.59733333333333,-0.9831666666666669,1277.742,4.087915,166.4379,POINT (678045.8821745041 4163052.1578836334)
-107.0,-115.0,37.596983333333334,-0.9825,1337.436,3.724853,128.8659,POINT (678105.5764063415 4163014.5859142616)
-117.0,-116.0,37.59661666666667,-0.9825,1338.311,3.37289,88.17977,POINT (678106.4508263599 4162973.8997707306)
-112.0,-116.0,37.596783333333335,-0.9826666666666668,1323.198,2.493964,106.3572,POINT (678091.3383667195 4162992.077232919)
-121.0,-115.0,37.597116666666665,-0.9826666666666668,1322.403,3.320384,143.3446,POINT (678090.5435024549 4163029.064635979)
-109.0,-109.0,37.5973,-0.9828333333333332,1307.251,3.83932,163.3715,POINT (678075.3914299242 4163049.091493947)
-111.0,-110.0,37.5973,-0.9833333333333332,1263.107,3.83623,162.423,POINT (678031.2467484282 4163048.143007389)
-113.0,-110.0,37.59725,-0.9838333333333332,1219.081,3.794127,155.9267,POINT (677987.2212319173 4163041.646646531)
-110.0,-112.0,37.59725,-0.9841666666666666,1189.651,3.807462,155.2946,POINT (677957.7914288001 4163041.014610167)
-114.0,-117.0,37.59733333333333,-0.9846666666666668,1145.308,4.506462,163.5936,POINT (677913.4482066568 4163049.3136000964)
-110.0,-111.0,37.597833333333334,-0.9853333333333332,1085.258,3.976296,217.8112,POINT (677853.397939762 4163103.5312405424)
-92.0,-98.0,37.605216666666664,-0.9845,1141.24,7.806884,1038.662,POINT (677909.3798009988 4163924.381918791)
-104.0,-105.0,37.60496666666667,-0.9845,1141.836,9.048733,1010.921,POINT (677909.9755174277 4163896.64134092)
-104.0,-95.0,37.60561666666667,-0.981,1449.265,9.802979,1089.688,POINT (678217.4049836753 4163975.4078612165)
-94.0,-95.0,37.605333333333334,-0.9806666666666668,1479.368,9.266846,1058.882,POINT (678247.507937552 4163944.6015980835)
-110.0,-98.0,37.60491666666667,-0.9805,1495.076,15.40694,1012.964,POINT (678263.2160867837 4163898.683850207)
-91.0,-96.0,37.604533333333336,-0.9805,1495.991,20.2124,970.4283,POINT (678264.1313258933 4163856.148272871)
-99.0,-99.0,37.603633333333335,-0.9798333333333332,1556.995,16.40082,871.8287,POINT (678325.1347221696 4163757.5486982367)
-97.0,-96.0,37.60348333333334,-0.9795,1586.78,15.63039,855.8177,POINT (678354.9203322874 4163741.537776049)
-100.0,-98.0,37.60365,-0.9791666666666666,1615.81,16.97879,874.9451,POINT (678383.9495155305 4163760.665043705)
-100.0,-107.0,37.6038,-0.9786666666666668,1659.592,17.66945,892.5399,POINT (678427.7320141464 4163778.259906551)
-109.0,-95.0,37.6039,-0.9781666666666666,1703.494,16.70092,904.5869,POINT (678471.6338524178 4163790.306887653)
-105.0,-102.0,37.60385,-0.978,1718.327,16.71,899.3557,POINT (678486.4669806898 4163785.0757336076)
-101.0,-107.0,37.603566666666666,-0.9776666666666666,1748.432,16.78428,868.5504,POINT (678516.571624391 4163754.270395122)
-102.0,-107.0,37.603316666666665,-0.9775,1763.743,17.16686,841.1268,POINT (678531.8830602327 4163726.8468370424)
-109.0,-110.0,37.603,-0.9773333333333334,1779.214,17.09339,806.3058,POINT (678547.3540074336 4163692.025811122)
-101.0,-107.0,37.6026,-0.9771666666666668,1794.884,16.93818,762.2379,POINT (678563.024358829 4163647.957944497)
-107.0,-110.0,37.602266666666665,-0.9773333333333334,1780.968,16.27314,724.9334,POINT (678549.1075646377 4163610.6533867777)
-113.0,-97.0,37.601933333333335,-0.9773333333333334,1781.765,14.78928,687.9459,POINT (678549.9046263974 4163573.665924102)
-99.0,-107.0,37.6016,-0.9773333333333334,1782.562,14.0703,650.9584,POINT (678550.7016820968 4163536.6784632592)
-105.0,-103.0,37.60123333333333,-0.9775,1768.724,12.77095,609.9552,POINT (678536.8643051551 4163495.6751954076)
-96.0,-107.0,37.60086666666667,-0.9775,1769.601,10.37758,569.269,POINT (678537.740979764 4163454.9889938934)
-107.0,,37.60046666666667,-0.9773333333333334,1785.272,7.555542,525.2011,POINT (678553.4116261419 4163410.9211101104)
-110.0,-104.0,37.59973333333333,-0.9771666666666668,1801.74,5.272259,444.1458,POINT (678569.8795094949 4163329.865801222)
-85.0,,37.59936666666667,-0.9771666666666668,1802.616,4.531519,403.4596,POINT (678570.756298756 4163289.1796066333)
-97.0,-101.0,37.5992,-0.9781666666666666,1714.728,5.363545,383.0638,POINT (678482.8676466644 4163268.78377553)
-114.0,-99.0,37.599016666666664,-0.9788333333333332,1656.308,5.450623,361.4531,POINT (678424.4475562146 4163247.173136735)
-98.0,-99.0,37.59878333333333,-0.9791666666666666,1627.436,5.167265,334.9283,POINT (678395.5758229432 4163220.6483166246)
-101.0,-96.0,37.598366666666664,-0.9796666666666668,1584.287,4.609884,287.7438,POINT (678352.4270900149 4163173.463803725)
-103.0,,37.59813333333334,-0.9798333333333332,1570.13,4.431634,261.5359,POINT (678338.2696026817 4163147.255916513)
-113.0,-110.0,37.598083333333335,-0.981,1467.246,4.408441,253.7717,POINT (678235.3857843156 4163139.491721748)
